st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,111690.0
Bihar,286735.0
Chandigarh,24487.0
Chhattisgarh,59888.0
Dadara & Nagar Havelli,1416.0
Daman & Diu,1391.0
Goa,29499.0
Gujarat,569400.0
Haryana,285856.0
Himachal Pradesh,69771.0
Jammu & Kashmir,27459.0
Jharkhand,87633.0
Karnataka,896535.0
Kerala,409259.0
Lakshadweep,0.0
Madhya Pradesh,556845.0
Maharashtra,1039581.0
Manipur,4544.0
Meghalaya,2027.0
Mizoram,1308.0
Nagaland,0.0
NCT of Delhi,146827.0
Puducherry,0.0
Punjab,310403.0
Rajasthan,437010.0
Sikkim,3400.0
Tamil Nadu,327097.0
Telangana,169119.0
Tripura,12791.0
Uttar Pradesh,1004559.0
Uttarakhand,84734.0
West Bengal,239820.0
Odisha,159041.0
Andhra Pradesh,195473.0
