st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,70.0
Bihar,807.0
Chandigarh,0.0
Chhattisgarh,1.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,4900.0
Himachal Pradesh,1150.0
Jammu & Kashmir,72.0
Jharkhand,24.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,674.0
Manipur,0.0
Meghalaya,0.0
Mizoram,0.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,5734.0
Rajasthan,2090.0
Sikkim,0.0
Tamil Nadu,388.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,1241.0
Uttarakhand,0.0
West Bengal,2155.0
Odisha,190.0
Andhra Pradesh,6.0
