st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,83.0
Bihar,1077.0
Chandigarh,0.0
Chhattisgarh,2.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,5563.0
Himachal Pradesh,1357.0
Jammu & Kashmir,223.0
Jharkhand,29.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,697.0
Manipur,0.0
Meghalaya,0.0
Mizoram,28.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,6328.0
Rajasthan,844.0
Sikkim,0.0
Tamil Nadu,504.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,1356.0
Uttarakhand,0.0
West Bengal,2110.0
Odisha,335.0
Andhra Pradesh,8.0
